KEGG,G7_1,G7_2,G7_3,G7_4,G7_5,G7_6
C15531,12208037.45,13629350.28,10337517.32,9988325.934,14911150.66,10067867.44
C15638,8813095.409,7016439.929,6016639.959,5612885.438,4753097.685,5283717.604
C08162,7682842.124,7009913.3,7038566.555,6002575.844,7102031.641,5276754.751
C09833,6165275.372,6261741.79,2906629.203,3868011.85,3577252.942,3708191.481
C06350,5183315.15,4151867.608,2892639.485,3580822.91,2793102.589,3014456.995
C07881,3210893.241,2898823.763,2976223.806,2748053.537,3305608.594,3321385.842
C04462,5464593.209,5123386.892,3853018.75,3777603.195,3876272.502,4073863.657
C08079,126356124.2,79093951.23,95270669.45,135595131.6,23664334.3,82787893.2
C00341,15376168.84,9975377.527,8553572.165,8697326.511,8723180.315,9720203.547
C03492,7586297.424,7171855.038,8932032.946,7988649.954,7467148.161,6841334.5
C16352,11444178.06,13324774.88,12160890.5,14319533.29,10879071.43,12675480.26
C07246,12854696.43,7376451.895,4255249.155,5204490.942,4695536.98,5258878.364
C05906,398706860.5,505579047.3,506017565.3,596093729.4,444195708.7,450581143.5
C07605,22191356.4,20823521.08,27376555.52,20350232.55,24652599.76,19298712.83
C06681,589268.8926,630715.2327,540545.972,465094.1851,487917.2345,494231.4299
C04540,1660650.703,3076639.758,3916069.58,2936676.357,2548696.761,2329040.131
C14776,22740850.88,13515445.13,19314467.35,24162974.51,27689854.77,17193433.34
C16416,14294159.77,9266656.269,6288249.743,8426517.816,6463888.016,6509064.7
C01168,9294332.097,11383507.74,7523354.15,10043612.24,7562678.707,8394569.303
C01265,4029451.946,3475575.55,2838781.532,864770.7216,4086037.727,3073556.117
C21161,3806872.594,6616202.304,5188116.297,5084450.008,4033643.108,4254999.577
C06162,5142359.784,6331708.327,6714413.393,7159486.875,1785614.261,5545633.625
C08169,10543559.08,53405953.42,14028441.3,32609529.9,52140993.12,42564846.37
C21191,19710027.22,23957174.62,21744678.22,17296484.51,24571978.79,4947537.245
C06564,19862086.43,45772230.15,32981635.5,39239195.88,29272321.97,22223516.94
C20513,7399824.746,5663947.456,6386641.087,7453456.738,5471132.713,5687305.083
C07506,9962715.054,4787719.826,6145106.566,4067661.24,7220936.318,4109947.814
C00584,13669207.28,7575638.233,6038797.242,8733694.102,7993714.978,7010871.176
C18910,2199843.609,2793366.397,2824724.877,3356276.006,2792443.648,2444400.156
C01926,59786323.78,42853827.02,29057482.33,17981522.4,12861758.36,25443500.44
C07251,12754662.44,9914841.695,7182172.822,9343556.095,8305501.181,9077550.788
C04778,6688363.893,24869709.75,21150247.55,18219621.1,24195441.34,22880234.54
C10682,10812981.57,26336387.76,15270241.69,14060513.56,21478385.76,17542426.56
C21648,23809446.7,25829081.56,11939421.01,14573206.17,15130927.38,15570972.71
C01814,1421544.512,1599886.91,1599907.128,1542281.051,1730256.091,1338980.005
C16619,9351210.482,10390464.1,9125839.987,6374311.169,7719427.477,9111388.288
C07589,359138947.6,322542531.9,480615167.7,321830036.7,382177741.3,414722565.6
C06654,77849647.1,91286926.09,76607545.62,84361606.41,78598489.94,78160759.94
C15550,10382883.97,9811758.908,4502710.824,10427883.49,9970594.7,11447943.06
C01852,5348702.202,4107893.13,2279983.189,2587040.334,3175784.064,1759773.488
C06165,3636269.747,3420007.602,5607056.499,6284579.127,4945484.701,4266376.848
C12369,2290107.227,3587315.96,3005690.556,2846352.748,2644017.351,2399109.819
C04719,2867177.785,2432686.25,2688569.586,2574983.992,2908555.507,2613767.326
C00015,297752817.8,327730634.4,404411966.7,258497303.9,272755938.9,177342578.6
C12424,8671695.138,8729373.519,6551542.681,6040839.14,6065662.342,7245633.793
C15970,17690642.12,10791389.85,9875301.409,14577584.06,11485725.2,12361566.92
C16406,195020559.9,197131013.1,108228656.7,109224466.4,106008329.1,48537753
C12141,6325377.023,4903079.468,14320390.65,9773113.948,11299032.85,11006740.88
C08647,5274886.272,3341584.758,2443901.776,4091532.22,2098426.796,2024305.77
C00477,4758220.985,4533874.988,2351872.285,4715480.853,3041091.672,3489350.149
C21656,4030430.1,5570456.482,4640408.577,4412002.363,1916939.55,2118955.794
C03646,2053489.702,1944632.44,1548130.89,1640591.981,1697442.681,1833563.577
C21395,1103576.406,986833.4439,693941.3603,224222.9102,666351.8071,693692.9348
C12625,27336220.93,30703914.44,24301640.75,29825698.72,24837136.71,34058165.11
C05803,5656113.652,2231333.302,5338507.353,2913576.323,5466563.624,2957690.49
C03187,21456680.58,10271368.98,7427681.536,8680338.984,9510467.698,9057109.492
C08540,17550154.19,12822009.29,9101760.489,12956645.69,11139225,11253407.49
C02191,5750728.848,7661297.493,6159863.135,4780707.464,1664840.973,5328491.091
C03516,2134691.868,2154398.692,1652447.317,2277157.283,2354230.958,2105971.089
C16305,2976659520,3028541478,2674027169,2358629651,2216519958,2691993886
C16541,53795923.91,35576237.76,28490734.27,30889619.31,29035593.25,32245720.68
C04631,572042.9503,914112.2523,1620062.677,1556722.14,421606.4914,409564.1365
C01201,2108473.231,1939051.657,1697422.538,1834847.746,1686235.093,1790417.937
C16304,4951668.05,5845236.682,4313211.609,3200134.068,4401506.819,4202971.363
C01033,2173176.961,3002155.742,3512040.267,3191474.648,2796879.815,2305873.083
C00082,40582562.61,10908582.01,9299106.758,8937853.002,10572674.66,9435317.783
C16924,19560313.47,36012468.72,34920170.87,13697931.49,34039980.97,30087526.16
C09268,48274851.19,37209519.15,14458447.99,18954759.9,35493386.39,39045926.64
C03093,97114826.51,99770028.36,82026593.81,78969853.03,81470727.59,75813916.77
C09311,96811719.8,67359340.05,55066946.01,55587395.29,58086128.82,54141540.37
C16778,11229453.12,8278995.948,7477287.707,7197153.818,7871964.103,7866963.314
C12189,16701766.46,13533916.06,11985216.23,14708628.6,18369175.91,15762957.14
C10287,5679180.886,7014994.172,4796355.263,4765075.067,4388220.281,4539491.196
C08532,8238821.588,10224622.54,7369726.424,6755723.757,6794239.222,7231799.997
C06427,45880998.97,31593510.45,26184693.3,34484844.37,33261538.89,28146454.77
C10041,226974100.5,209769536.8,274961768,230695782.4,241452683.5,249566209.4
C10184,398432736.9,378949102.6,298034747.7,346997285.5,279735893.3,345254987.1
C09727,5036581.319,4244253.17,4327072.794,4060593.092,4348544.611,2938033.414
C09919,35171650.89,23754067.24,18899647.57,22798539.79,23548936.24,19674652.25
