Gene ID,Accesion,Control-1,Control-2,Control-3,S7-1,S7-2,S7-3
AT5G51970,Q9FJ95,2734.289464,3404.289789,2957.764716,3341.679522,3201.445556,3380.607994
AT5G52640,P27323,658.1319705,653.7831499,670.3547039,493.2368298,505.144434,551.4585457
AT5G52810,Q9FLY0,338.4678705,354.7009706,218.0541871,317.240961,313.9641588,299.9600271
AT5G54500,Q9LSQ5,2841.581567,3090.515853,2809.87648,2727.37547,2791.89126,2671.231774
AT5G54940,Q9FFT6,4351.413734,5447.493308,4252.056649,4217.174894,4202.669842,4611.363202
AT5G56100,Q9FKT7,201.3109557,219.3269315,196.4646636,236.5294797,262.8728784,305.8088299
AT5G56290,Q9FMA3,1225.563401,1033.669988,1184.185363,1136.686694,1000.400233,1109.601437
AT5G57090,Q9LU77,266.5711007,225.6233984,290.3790907,576.1902966,532.33818,498.8193209
AT5G57110,Q9LF79,2328.34924,1605.599068,2302.522679,2017.787031,2246.368233,2052.094225
AT5G57120,Q9LU74,527.6116806,598.1643587,465.2542309,839.6236034,750.7122012,870.6360676
AT5G57270,Q8W4D1,457.927119,387.2327164,519.2280396,451.7600964,426.8594075,415.2649958
AT5G58350,Q9LVL5,403.7280155,388.2821276,401.5651366,326.2089033,328.7971112,267.3738403
AT5G58470,Q94KD0,1713.355332,1773.504853,1946.295541,2339.511963,2297.459514,2267.664383
AT5G58770,Q56Y11,37.60754117,27.28469004,17.27161878,30.26680546,48.61912171,53.47476807
AT5G59910,P40283,8939.533757,12342.1246,9138.845287,10937.5267,10550.34941,10855.37792
AT5G60620,Q8GWG0,1116.059089,1328.554523,1169.072696,1025.708407,1096.814424,1087.04177
AT5G60660,Q9FF53,64.15404082,65.06349164,55.05328486,35.87176944,42.85075133,39.2705328
AT5G60990,Q8GY84,907.0054047,922.4324057,924.0316048,1035.797343,962.4937992,1077.850794
AT5G61160,Q9FNP9,170.3400394,181.5481299,165.1598546,218.593595,243.0956085,193.8460342
AT5G61530,Q3E875,679.1479494,767.1195547,788.0176069,634.4819219,618.8637356,656.7369953
AT5G61820,Q8VZ21,1343.916545,1169.044027,1424.908549,1060.459184,1076.213101,1028.553742
AT5G62670,Q9LV11,2261.982991,1772.455442,2291.727917,2119.797375,2089.79818,2019.508038
AT5G63000,Q84K84,463.4576397,619.1525818,379.9756132,468.5749883,516.6811747,443.6734663
AT5G64120,Q43387,1525.317626,1462.879151,1370.934741,1604.14069,1669.531196,1581.683374
AT5G64250,Q9FMG0,835.1086348,824.8371683,794.4944639,845.2285674,857.8390796,861.4450918
AT5G64260,Q9FE06,5959.689172,5808.490746,5439.48044,6330.246313,6605.608129,5703.418231
AT5G64370,Q8H183,839.5330514,789.157189,841.9914156,717.4353887,765.5451536,805.463694
AT5G64620,O49603,2005.366828,1949.805927,1686.141783,2274.494381,2463.918202,2246.775802
AT5G64650,Q1ECK2,849.4879888,879.4065483,740.5206552,865.4064377,827.3491219,760.3443584
AT5G65010,Q9LV77,11906.10509,11687.29204,12051.272,11168.45122,11438.67845,11199.62174
AT5G65270,Q9FJN8,852.8063013,1173.241672,875.4551769,905.7621783,851.2466563,831.3655348
AT5G66170,Q9FKW8,164.8095187,168.955196,174.8751402,196.1737391,208.4853863,182.1484287
AT3G01060,F4IYD5,1215.608463,1139.660515,1114.019411,1261.116894,1218.774254,1207.359998
AT3G01160,Q9MAC6,298.6481211,334.7621586,347.591328,397.9524422,385.656762,426.9626013
AT3G01290,Q9SRH6,1325.112774,1402.013304,1421.670121,1509.977295,1494.831979,1389.508426
AT3G01930,Q9S7R2,609.4633878,529.9526335,647.6857043,596.3681669,658.4182753,603.2622272
AT3G03330,Q8L7U0,553.052076,638.0419826,503.035897,508.9307289,451.5809948,513.8590994
AT3G05220,Q3E7M7,1858.254976,1662.26727,2085.547968,2271.131403,2260.377133,2179.096799
AT3G05230,Q9MA96,456.8210148,581.3737802,513.8306587,609.8200804,554.5876086,546.4452862
AT3G05500,Q9MA63,1682.384415,1886.841258,1639.724308,2022.271002,2015.633418,2026.192384
AT3G07568,Q8W482,910.3237172,1314.912178,940.2237474,1132.202723,1076.213101,1021.869396
AT3G08510,Q39033,2838.263254,2278.271619,2752.664243,2482.999041,2387.281281,2345.369906
